"query","required_domains","architecture","reward","coverage","extra_domains","num_agents","num_edges","num_tool_domains","source_path"
"Delete my last email from nadia","['email']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}]}","0.7999999999999998","1.0","4.0","1.0","0.0","5.0","data\processed\queries_and_answers\email_queries_and_answers.csv"
"Delete my last email from sofia","['email']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'email', 'customer_relationship_manager'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}]}","1.0999999999999999","1.0","2.0","1.0","0.0","3.0","data\processed\queries_and_answers\email_queries_and_answers.csv"
"Delete my last email from anaya","['email']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}]}","0.9499999999999998","1.0","3.0","1.0","0.0","4.0","data\processed\queries_and_answers\email_queries_and_answers.csv"
"nadia just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?","['email']","{'num_agents': 4, 'adjacency': [[0, 1, 1, 1], [0, 0, 1, 1], [0, 0, 0, 1], [0, 0, 0, 0]], 'edges': [{'from': 0, 'to': 1}, {'from': 0, 'to': 2}, {'from': 0, 'to': 3}, {'from': 1, 'to': 2}, {'from': 1, 'to': 3}, {'from': 2, 'to': 3}], 'agents': [{'id': 0, 'commands': [1, 2, 3], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}, {'id': 1, 'commands': [2, 3], 'tool_domains': ['calendar', 'email', 'project_management', 'customer_relationship_manager'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'project_management.get_task_information_by_id', 'project_management.search_tasks', 'project_management.create_task', 'project_management.delete_task', 'project_management.update_task', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}, {'id': 2, 'commands': [3], 'tool_domains': ['calendar', 'email', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'company_directory.find_email_address']}, {'id': 3, 'commands': [], 'tool_domains': ['calendar', 'email', 'analytics', 'project_management', 'customer_relationship_manager'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'project_management.get_task_information_by_id', 'project_management.search_tasks', 'project_management.create_task', 'project_management.delete_task', 'project_management.update_task', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}]}","-0.36000000000000004","1.0","5.0","4.0","6.0","17.0","data\processed\queries_and_answers\email_queries_and_answers.csv"
"Delete my last email from yuki","['email']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}]}","0.7999999999999998","1.0","4.0","1.0","0.0","5.0","data\processed\queries_and_answers\email_queries_and_answers.csv"
"I need to delete my last email from leila. Can you do that?","['email']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'email', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}]}","0.9499999999999998","1.0","3.0","1.0","0.0","4.0","data\processed\queries_and_answers\email_queries_and_answers.csv"
"Delete my last email from chenwei","['email']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}]}","0.9499999999999998","1.0","3.0","1.0","0.0","4.0","data\processed\queries_and_answers\email_queries_and_answers.csv"
"Delete my last email from kofi","['email']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}]}","0.7999999999999998","1.0","4.0","1.0","0.0","5.0","data\processed\queries_and_answers\email_queries_and_answers.csv"
"anaya just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?","['email']","{'num_agents': 4, 'adjacency': [[0, 1, 1, 1], [0, 0, 1, 1], [0, 0, 0, 1], [0, 0, 0, 0]], 'edges': [{'from': 0, 'to': 1}, {'from': 0, 'to': 2}, {'from': 0, 'to': 3}, {'from': 1, 'to': 2}, {'from': 1, 'to': 3}, {'from': 2, 'to': 3}], 'agents': [{'id': 0, 'commands': [1, 2, 3], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}, {'id': 1, 'commands': [2, 3], 'tool_domains': ['calendar', 'email', 'project_management', 'customer_relationship_manager'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'project_management.get_task_information_by_id', 'project_management.search_tasks', 'project_management.create_task', 'project_management.delete_task', 'project_management.update_task', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}, {'id': 2, 'commands': [3], 'tool_domains': ['calendar', 'email', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'company_directory.find_email_address']}, {'id': 3, 'commands': [], 'tool_domains': ['calendar', 'email', 'analytics', 'project_management', 'customer_relationship_manager'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'project_management.get_task_information_by_id', 'project_management.search_tasks', 'project_management.create_task', 'project_management.delete_task', 'project_management.update_task', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}]}","-0.36000000000000004","1.0","5.0","4.0","6.0","17.0","data\processed\queries_and_answers\email_queries_and_answers.csv"
"Delete my last email from jinsoo","['email']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}]}","0.9499999999999998","1.0","3.0","1.0","0.0","4.0","data\processed\queries_and_answers\email_queries_and_answers.csv"
