"query","required_domains","architecture","reward","coverage","extra_domains","num_agents","num_edges","num_tool_domains","source_path"
"If we haven't spoke to Cameron Anderson in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on Cameron Anderson' at the first time I'm free tomorrow","['customer_relationship_manager', 'calendar']","{'num_agents': 4, 'adjacency': [[0, 1, 1, 1], [0, 0, 1, 1], [0, 0, 0, 1], [0, 0, 0, 0]], 'edges': [{'from': 0, 'to': 1}, {'from': 0, 'to': 2}, {'from': 0, 'to': 3}, {'from': 1, 'to': 2}, {'from': 1, 'to': 3}, {'from': 2, 'to': 3}], 'agents': [{'id': 0, 'commands': [1, 2, 3], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}, {'id': 1, 'commands': [2, 3], 'tool_domains': ['calendar', 'email', 'project_management'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'project_management.get_task_information_by_id', 'project_management.search_tasks', 'project_management.create_task', 'project_management.delete_task', 'project_management.update_task']}, {'id': 2, 'commands': [3], 'tool_domains': ['calendar', 'email'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email']}, {'id': 3, 'commands': [], 'tool_domains': ['email', 'analytics', 'customer_relationship_manager'], 'tools': ['email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}]}","0.5599999999999997","1.0","4.0","4.0","6.0","13.0","data\processed\queries_and_answers\multi_domain_queries_and_answers.csv"
"If we haven't spoke to Riley Brown in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on Riley Brown' at the first time I'm free tomorrow","['customer_relationship_manager', 'calendar']","{'num_agents': 4, 'adjacency': [[0, 1, 1, 1], [0, 0, 1, 1], [0, 0, 0, 1], [0, 0, 0, 0]], 'edges': [{'from': 0, 'to': 1}, {'from': 0, 'to': 2}, {'from': 0, 'to': 3}, {'from': 1, 'to': 2}, {'from': 1, 'to': 3}, {'from': 2, 'to': 3}], 'agents': [{'id': 0, 'commands': [1, 2, 3], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}, {'id': 1, 'commands': [2, 3], 'tool_domains': ['calendar', 'email', 'project_management'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'project_management.get_task_information_by_id', 'project_management.search_tasks', 'project_management.create_task', 'project_management.delete_task', 'project_management.update_task']}, {'id': 2, 'commands': [3], 'tool_domains': ['calendar', 'email'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email']}, {'id': 3, 'commands': [], 'tool_domains': ['email', 'analytics', 'customer_relationship_manager'], 'tools': ['email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}]}","0.5599999999999997","1.0","4.0","4.0","6.0","13.0","data\processed\queries_and_answers\multi_domain_queries_and_answers.csv"
"If we haven't spoke to Jessie Thomas in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on Jessie Thomas' at the first time I'm free tomorrow","['customer_relationship_manager', 'calendar']","{'num_agents': 4, 'adjacency': [[0, 1, 1, 1], [0, 0, 1, 1], [0, 0, 0, 1], [0, 0, 0, 0]], 'edges': [{'from': 0, 'to': 1}, {'from': 0, 'to': 2}, {'from': 0, 'to': 3}, {'from': 1, 'to': 2}, {'from': 1, 'to': 3}, {'from': 2, 'to': 3}], 'agents': [{'id': 0, 'commands': [1, 2, 3], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}, {'id': 1, 'commands': [2, 3], 'tool_domains': ['calendar', 'email', 'project_management'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'project_management.get_task_information_by_id', 'project_management.search_tasks', 'project_management.create_task', 'project_management.delete_task', 'project_management.update_task']}, {'id': 2, 'commands': [3], 'tool_domains': ['calendar', 'email'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email']}, {'id': 3, 'commands': [], 'tool_domains': ['email', 'analytics', 'customer_relationship_manager'], 'tools': ['email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}]}","0.5599999999999997","1.0","4.0","4.0","6.0","13.0","data\processed\queries_and_answers\multi_domain_queries_and_answers.csv"
"I haven't spoken to Quinn Thomas in a while. Can you check if it's been over 14 days? If so, book a 30-minute meeting with whoever is assigned to them called 'Update on Quinn Thomas' at the first time I'm free tomorrow","['customer_relationship_manager', 'calendar']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}]}","0.28","1.0","3.0","1.0","0.0","5.0","data\processed\queries_and_answers\multi_domain_queries_and_answers.csv"
"If we haven't spoke to Quinn Harris in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on Quinn Harris' at the first time I'm free tomorrow","['customer_relationship_manager', 'calendar']","{'num_agents': 4, 'adjacency': [[0, 1, 1, 1], [0, 0, 1, 1], [0, 0, 0, 1], [0, 0, 0, 0]], 'edges': [{'from': 0, 'to': 1}, {'from': 0, 'to': 2}, {'from': 0, 'to': 3}, {'from': 1, 'to': 2}, {'from': 1, 'to': 3}, {'from': 2, 'to': 3}], 'agents': [{'id': 0, 'commands': [1, 2, 3], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}, {'id': 1, 'commands': [2, 3], 'tool_domains': ['calendar', 'email', 'project_management'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'project_management.get_task_information_by_id', 'project_management.search_tasks', 'project_management.create_task', 'project_management.delete_task', 'project_management.update_task']}, {'id': 2, 'commands': [3], 'tool_domains': ['calendar', 'email'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email']}, {'id': 3, 'commands': [], 'tool_domains': ['email', 'analytics', 'customer_relationship_manager'], 'tools': ['email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}]}","0.5599999999999997","1.0","4.0","4.0","6.0","13.0","data\processed\queries_and_answers\multi_domain_queries_and_answers.csv"
"I haven't spoken to Quinn Brown in a while. Can you check if it's been over 14 days? If so, book a 30-minute meeting with whoever is assigned to them called 'Update on Quinn Brown' at the first time I'm free tomorrow","['customer_relationship_manager', 'calendar']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}]}","0.28","1.0","3.0","1.0","0.0","5.0","data\processed\queries_and_answers\multi_domain_queries_and_answers.csv"
"If we haven't spoke to Jamie Anderson in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on Jamie Anderson' at the first time I'm free tomorrow","['customer_relationship_manager', 'calendar']","{'num_agents': 4, 'adjacency': [[0, 1, 1, 1], [0, 0, 1, 1], [0, 0, 0, 1], [0, 0, 0, 0]], 'edges': [{'from': 0, 'to': 1}, {'from': 0, 'to': 2}, {'from': 0, 'to': 3}, {'from': 1, 'to': 2}, {'from': 1, 'to': 3}, {'from': 2, 'to': 3}], 'agents': [{'id': 0, 'commands': [1, 2, 3], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}, {'id': 1, 'commands': [2, 3], 'tool_domains': ['calendar', 'email', 'project_management'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'project_management.get_task_information_by_id', 'project_management.search_tasks', 'project_management.create_task', 'project_management.delete_task', 'project_management.update_task']}, {'id': 2, 'commands': [3], 'tool_domains': ['calendar', 'email'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email']}, {'id': 3, 'commands': [], 'tool_domains': ['email', 'analytics', 'customer_relationship_manager'], 'tools': ['email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}]}","0.5599999999999997","1.0","4.0","4.0","6.0","13.0","data\processed\queries_and_answers\multi_domain_queries_and_answers.csv"
"If we haven't spoken to Kerry Brown in the past 2 weeks, book a half hour meeting with whoeveris assigned to them called 'Update on Kerry Brown' at the first time I'm free tomorrow","['customer_relationship_manager', 'calendar']","{'num_agents': 4, 'adjacency': [[0, 1, 1, 1], [0, 0, 1, 1], [0, 0, 0, 1], [0, 0, 0, 0]], 'edges': [{'from': 0, 'to': 1}, {'from': 0, 'to': 2}, {'from': 0, 'to': 3}, {'from': 1, 'to': 2}, {'from': 1, 'to': 3}, {'from': 2, 'to': 3}], 'agents': [{'id': 0, 'commands': [1, 2, 3], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}, {'id': 1, 'commands': [2, 3], 'tool_domains': ['calendar', 'email', 'project_management'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'project_management.get_task_information_by_id', 'project_management.search_tasks', 'project_management.create_task', 'project_management.delete_task', 'project_management.update_task']}, {'id': 2, 'commands': [3], 'tool_domains': ['calendar', 'email'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email']}, {'id': 3, 'commands': [], 'tool_domains': ['email', 'analytics', 'project_management', 'customer_relationship_manager'], 'tools': ['email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'project_management.get_task_information_by_id', 'project_management.search_tasks', 'project_management.create_task', 'project_management.delete_task', 'project_management.update_task', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}]}","0.48999999999999977","1.0","4.0","4.0","6.0","14.0","data\processed\queries_and_answers\multi_domain_queries_and_answers.csv"
"If we haven't spoke to Jordan Jones in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on Jordan Jones' at the first time I'm free tomorrow","['customer_relationship_manager', 'calendar']","{'num_agents': 4, 'adjacency': [[0, 1, 1, 1], [0, 0, 1, 1], [0, 0, 0, 1], [0, 0, 0, 0]], 'edges': [{'from': 0, 'to': 1}, {'from': 0, 'to': 2}, {'from': 0, 'to': 3}, {'from': 1, 'to': 2}, {'from': 1, 'to': 3}, {'from': 2, 'to': 3}], 'agents': [{'id': 0, 'commands': [1, 2, 3], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}, {'id': 1, 'commands': [2, 3], 'tool_domains': ['calendar', 'email', 'project_management'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'project_management.get_task_information_by_id', 'project_management.search_tasks', 'project_management.create_task', 'project_management.delete_task', 'project_management.update_task']}, {'id': 2, 'commands': [3], 'tool_domains': ['calendar', 'email'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email']}, {'id': 3, 'commands': [], 'tool_domains': ['email', 'analytics', 'customer_relationship_manager'], 'tools': ['email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer']}]}","0.5599999999999997","1.0","4.0","4.0","6.0","13.0","data\processed\queries_and_answers\multi_domain_queries_and_answers.csv"
"I haven't spoken to Jamie Davis in a while. Can you check if it's been over 14 days? If so, book a 30-minute meeting with whoever is assigned to them called 'Update on Jamie Davis' at the first time I'm free tomorrow","['customer_relationship_manager', 'calendar']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'email', 'analytics', 'customer_relationship_manager', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'email.get_email_information_by_id', 'email.search_emails', 'email.send_email', 'email.delete_email', 'email.forward_email', 'email.reply_email', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'customer_relationship_manager.search_customers', 'customer_relationship_manager.update_customer', 'customer_relationship_manager.add_customer', 'customer_relationship_manager.delete_customer', 'company_directory.find_email_address']}]}","0.28","1.0","3.0","1.0","0.0","5.0","data\processed\queries_and_answers\multi_domain_queries_and_answers.csv"
